town,pop
"Aaron, KY",1
"Aaronsburg, PA",1
"Abac, GA",1
"Abbeville, AL",2603
"Abbeville, GA",2761
"Abbeville, MS",430
"Abbeville, SC",5168
"Abbot Village, ME",1
"Abbotsford, WI",2259
"Abbott, TX",360
"Abbott Park, IL",1
"Abbottstown, PA",1017
"Abbyville, KS",87
"Abell, MD",1
"Aberdeen, MD",15612
"Aberdeen, MS",5391
"Aberdeen, NC",7502
"Aberdeen, OH",1602
"Aberdeen, SD",28415
"Aberdeen, WA",16334
"Aberdeen Proving, MD",1
"Abernathy, TX",2765
"Abie, NE",66
"Abilene, KS",6469
"Abilene, TX",122225
"Abingdon, IL",3149
"Abingdon, MD",1
"Abingdon, VA",8083
"Abington, MA",1
"Abiquiu, NM",1
"Abita Springs, LA",2529
"Abraham, WV",1
"Abrams, WI",1
"Absaraka, ND",1
"Absarokee, MT",1
"Academy, SD",1
"Acampo, CA",1
"Accident, MD",316
"Accokeek, MD",1
"Accomac, VA",499
"Accord, NY",1
"Acequia, ID",127
"Ackerly, TX",233
"Ackerman, MS",1469
"Ackley, IA",1546
"Ackworth, IA",86
"Acmar, AL",1
"Acme, LA",1
"Acme, PA",1
"Acme, WA",1
"Acme, WY",1
"Acra, NY",1
"Acton, CA",1
"Acton, IN",1
"Acton, MA",1
"Acton, ME",1
"Acton, MT",1
"Acushnet, MA",1
"Acworth, GA",22418
"Ada, KS",1
"Ada, MI",1
"Ada, OH",5607
"Ada, OK",17371
"Adah, PA",1
"Adair, IA",716
"Adair, IL",1
"Adair, OK",818
"Adairsville, GA",4816
"Adairville, KY",876
"Adamant, VT",1
"Adams, IN",1
"Adams, KY",1
"Adams, MA",1
"Adams, MN",778
"Adams, ND",124
"Adams, NE",607
"Adams, OR",347
"Adams, TN",657
"Adams, WI",1890
"Adams Basin, NY",1
"Adams Center, NY",1
"Adams Mills, OH",1
"Adamsburg, PA",168
"Adamstown, PA",1838
"Adamsville, AL",4360
"Adamsville, OH",122
"Adamsville, PA",1
"Adamsville, TN",2204
"Addis, LA",4873
"Addison, AL",738
"Addison, IL",36902
"Addison, ME",1
"Addison, MI",593
"Addison, NY",1702
"Addison, PA",201
"Addison Township, MI",1
"Addy, WA",1
"Addyston, OH",936
"Adel, GA",5355
"Adel, IA",4293
"Adel, OR",1
"Adelaide, CA",1
"Adelanto, CA",33391
"Adell, WI",520
"Adelphi, MD",1
"Adena, OH",725
"Adger, AL",1
"Adin, CA",1
"Adirondack, NY",1
"Adkins, TX",1
"Admire, KS",155
"Adolphus, KY",1
"Adona, AR",203
"Adrian, GA",651
"Adrian, MI",20676
"Adrian, MN",1223
"Adrian, MO",1618
"Adrian, ND",1
"Adrian, OR",172
"Adrian, PA",1
"Adrian, TX",167
"Adrian, WV",1
"Advance, MO",1365
"Advance, NC",1
"Advance Mills, VA",1
"Advent, WV",1
"Affton, MO",1
"Aflex, KY",1
"Afton, IA",832
"Afton, MI",1
"Afton, MN",2991
"Afton, NY",809
"Afton, TN",1
"Afton, TX",1
"Afton, VA",1
"Afton, WY",1995
"Agar, SD",81
"Agate, CO",1
"Agawam, MA",1
"Agency, IA",635
"Agency, MO",666
"Agency Village, SD",1
"Agenda, KS",64
"Ages Brookside, KY",1
"Agness, OR",1
"Agnew, NE",1
"Agnos, AR",1
"Agra, KS",244
"Agra, OK",347
"Agricola, MS",1
"Agua Dulce, CA",1
"Aguanga, CA",1
"Aguilar, CO",473
"Ahoskie, NC",4980
"Ahsahka, ID",1
"Ahwahnee, CA",1
"Aiea, HI",1
"Aiken, SC",30937
"Ailey, GA",556
"Aimwell, LA",1
"Ainsworth, IA",584
"Ainsworth, NE",1635
"Airlie, VA",1
"Airport, FL",1
"Airville, PA",1
"Aitkin, MN",2009
"Akaska, SD",45
"Akeley, MN",430
"Akhiok, AK",71
"Akiachak, AK",1
"Akiak, AK",383
"Akron, CO",1735
"Akron, IA",1465
"Akron, IN",1122
"Akron, MI",389
"Akron, NY",2854
"Akron, OH",197633
"Akron, PA",3983
"Akutan, AK",1036
"Alabama, NY",1
"Aladdin, WY",1
"Alakanuk, AK",750
"Alameda, NM",1
"Alamo, CA",1
"Alamo, GA",3389
"Alamo, NM",1
"Alamo, NV",1
"Alamo, TN",2457
"Alamo, TX",19220
"Alamo Heights, TX",8284
"Alamogordo, NM",31283
"Alamosa, CO",9918
"Alamota, KS",1
"Alanson, MI",743
"Alapaha, GA",662
"Alba, TX",516
"Albany, CA",19688
"Albany, GA",73801
"Albany, IL",882
"Albany, IN",2107
"Albany, KY",2013
"Albany, LA",1114
"Albany, MN",2668
"Albany, MO",1699
"Albany, NY",98111
"Albany, OH",891
"Albany, OR",53211
"Albany, TX",1983
"Albany, VT",184
"Albany, WI",1011
"Albee, SD",15
"Albemarle, NC",16004
"Alberene, VA",1
"Albers, IL",1165
"Albert, KS",170
"Albert, NM",1
"Albert, TX",1
"Albert City, IA",685
"Albert Lea, MN",17667
"Alberta, AL",1
"Alberta, MN",101
"Alberta, VA",283
"Alberton, MT",417
"Albertson, NC",1
"Albertson, NY",1
"Albertville, AL",21525
"Albertville, MN",7401
"Albia, IA",3785
"Albin, WY",201
"Albion, CA",1
"Albion, IA",469
"Albion, IL",1934
"Albion, IN",2320
"Albion, ME",1
"Albion, MI",8337
"Albion, NE",1599
"Albion, NY",5962
"Alborn, MN",1
"Albright, WV",286
"Albrightsville, PA",1
"Albuquerque, NM",559277
"Alburg, VT",1
"Alburnett, IA",699
"Alburtis, PA",2563
"Alcalde, KY",1
"Alcester, SD",748
"Alco, AR",1
"Alcoa, TN",9874
"Alcolu, SC",1
"Alcova, WY",1
"Alcove, NY",1
"Alda, NE",650
"Alden, AL",1
"Alden, IA",762
"Alden, KS",144
"Alden, MI",1
"Alden, MN",640
"Alden, NY",2573
"Alden Manor, NY",1
"Aldenville, PA",1
"Alder Creek, NY",1
"Aldie, VA",1
"Aldrich, MN",47
"Aldrich, MO",80
"Aledo, IL",3516
"Aledo, TX",3761
"Aleknagik, AK",222
"Aleppo, PA",1
"Alex, OK",549
"Alexander, AR",2820
"Alexander, IA",168
"Alexander, KS",60
"Alexander, NC",1
"Alexander, NY",499
"Alexander, WV",1
"Alexander Mills, NC",1
"Alexandria, AL",1
"Alexandria, IN",5024
"Alexandria, KY",9340
"Alexandria, LA",47832
"Alexandria, MN",13568
"Alexandria, MO",151
"Alexandria, NE",172
"Alexandria, OH",530
"Alexandria, TN",972
"Alexandria, VA",155810
"Alexis, IL",799
"Alexis, NC",1
"Alford, FL",466
"Alfred, ME",1
"Alfred, ND",1
"Alfred, NY",4060
"Alfred Station, NY",1
"Alger, MI",1
"Alger, OH",847
"Algodones, NM",1
"Algoma, WI",3098
"Algoma, WV",1
"Algona, IA",5515
"Algona, WA",3156
"Algood, TN",4193
"Alhambra, CA",85474
"Alhambra, IL",657
"Alice, ND",40
"Alice, TX",19285
"Aliceville, AL",2357
"Alicia, AR",119
"Aline, OK",217
"Aliso Viejo, CA",51424
"Alix, AR",1
"Alkabo, ND",1
"Alkol, WV",1
"Allakaket, AK",106
"Allardt, TN",636
"Alledonia, OH",1
"Allegan, MI",5072
"Allegany, NY",1729
"Alleghany, CA",1
"Alleghany, VA",1
"Allegheny, PA",1
"Alleman, IA",455
"Allen, AL",1
"Allen, IL",1
"Allen, KY",1
"Allen, MI",188
"Allen, NE",362
"Allen, OK",935
"Allen, SD",1
"Allen, TX",99179
"Allen Park, MI",27214
"Allendale, IL",458
"Allendale, MI",1
"Allendale, NJ",6853
"Allendale, SC",3046
"Allenhurst, GA",663
"Allenhurst, NJ",487
"Allenport, PA",522
"Allenspark, CO",1
"Allenstown, NH",1
"Allensville, KY",1
"Allensville, OH",1
"Allensville, PA",1
